"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-01 ~ 2026-04-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 파주시 목동동","1142","1142","0000","운정신도시 센트럴 푸르지오","84.9978","202604","23","66,400","-","11","개인","개인","2018","심학산로 385","-","중개거래","경기 파주시","-"
"2","경기도 시흥시 대야동","693","0693","0000","시흥센트럴푸르지오","84.9687","202604","23","70,000","-","37","개인","개인","2020","수인로3312번길 16","-","직거래","-","-"
"3","경기도 화성시 만세구 새솔동","23","0023","0000","더펠리체휴먼빌","84.9699","202604","23","55,000","-","16","개인","개인","2018"," 235","-","중개거래","경기 화성시 만세구, 경기 화성시 병점구","-"
"4","경기도 화성시 동탄구 청계동","513","0513","0000","동탄역시범리슈빌아파트","84.8700","202604","23","121,000","-","7","개인","개인","2015"," 236","-","중개거래","경기 화성시 동탄구","-"
"5","경기도 수원시 영통구 영통동","1093","1093","0000","영통3풍림아이원","84.8770","202604","23","50,000","-","21","개인","개인","2002","봉영로1482번길 18","-","중개거래","경기 수원시 영통구","-"
"6","경기도 용인시 기흥구 언남동","493","0493","0000","하마비마을동부센트레빌","125.6668","202604","23","65,700","-","3","개인","개인","2002","구성로 99","-","중개거래","경기 용인시 기흥구","-"
"7","경기도 화성시 만세구 향남읍 하길리","1473","1473","0000","서봉마을모아엘가","84.9837","202604","23","41,800","-","6","개인","개인","2015"," 61","-","중개거래","경기 화성시 만세구","-"
"8","경기도 고양시 일산서구 일산동","1103","1103","0000","후곡마을(주공)","68.1300","202604","23","29,000","-","10","개인","개인","1995","강선로 188","-","중개거래","경기 고양시 일산서구","-"
"9","경기도 의정부시 호원동","425","0425","0000","한승","59.9800","202604","23","29,000","-","13","개인","개인","1998","평화로 374","-","중개거래","경기 의정부시","-"
"10","경기도 수원시 권선구 세류동","141","0141","0000","성원","59.4000","202604","23","30,000","-","12","개인","개인","1996","정조로 618","-","중개거래","경기 수원시 권선구","-"
"11","경기도 안성시 공도읍 용두리","755","0755","0000","안성공도우미린더퍼스트","73.7031","202604","23","35,000","-","16","개인","개인","2018","공도로 51-17","-","중개거래","경기 안성시","-"
"12","경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202604","23","62,000","-","12","개인","개인","2015","송산로307번길 22","-","중개거래","경기 남양주시","-"
"13","경기도 파주시 금촌동","1022","1022","0000","후곡마을6단지주공","59.5600","202604","23","22,000","-","9","개인","개인","2004","새꽃로 10","-","중개거래","경기 파주시","-"
"14","경기도 안성시 당왕동","584","0584","0000","삼정그린코아더베스트","84.9857","202604","23","34,300","-","15","개인","개인","2019","고수2로 70","-","중개거래","경기 안성시","-"
"15","경기도 안성시 당왕동","584","0584","0000","삼정그린코아더베스트","84.9857","202604","23","31,000","-","25","개인","개인","2019","고수2로 70","-","중개거래","경기 안성시","-"
"16","경기도 화성시 동탄구 반송동","140","0140","0000","솔빛마을서해그랑블","100.7050","202604","23","87,500","-","20","개인","개인","2007"," 38","-","중개거래","경기 화성시 동탄구","-"
"17","경기도 고양시 덕양구 행신동","771","0771","0000","무원마을(삼보)","84.9450","202604","23","49,500","-","3","개인","개인","1994","화신로 33","-","중개거래","경기 고양시 덕양구, 서울 관악구","-"
"18","경기도 안성시 공도읍 양기리","567","0567","0000","송정그린빌","59.9485","202604","23","14,000","-","14","개인","개인","2001","양기길 46","-","중개거래","경기 안성시","-"
"19","경기도 용인시 기흥구 영덕동","946","0946","0000","대명레이크빌","83.5000","202604","23","39,000","-","8","개인","개인","2005","덕영대로2077번길 55","-","중개거래","경기 용인시 기흥구","-"
"20","경기도 화성시 동탄구 청계동","538","0538","0000","동탄역센트럴푸르지오","59.4313","202604","23","83,500","-","15","개인","개인","2015"," 54","-","중개거래","경기 화성시 동탄구","-"
"21","경기도 성남시 분당구 대장동","623","623","0000","판교풍경채어바니티(7단지)","84.9418","202604","23","124,000","-","5","개인","개인","2021","판교대장로 77","-","중개거래","경기 성남시 분당구","-"
"22","경기도 용인시 처인구 삼가동","537","0537","0000","우남퍼스트빌","84.8028","202604","23","38,500","-","8","개인","개인","2003","금학로 91","-","중개거래","경기 용인시 처인구","-"
"23","경기도 의정부시 의정부동","199-10","0199","0010","우미쁘띠린2차","19.8100","202604","23","6,800","-","11","개인","개인","2014","호국로1298번길 38","-","중개거래","경기 의정부시","-"
"24","경기도 양주시 옥정동","936","0936","0000","e편한세상옥정더퍼스트","84.9804","202604","23","40,000","-","20","개인","개인","2019","옥정서로1길 60","-","중개거래","경기 양주시","-"
"25","경기도 의정부시 의정부동","724","0724","0000","의정부역센트럴자이앤위브캐슬","84.9430","202604","23","84,000","-","28","개인","개인","2022","경의로 132","-","중개거래","경기 의정부시","-"
"26","경기도 용인시 처인구 고림동","1021","1021","0000","힐스테이트용인둔전역","59.8827","202604","23","45,500","-","11","개인","개인","2024","금어로 46","-","중개거래","경기 용인시 처인구","-"
"27","경기도 용인시 처인구 고림동","1000","1000","0000","금평마을영화","84.7958","202604","23","29,800","-","10","개인","개인","2003","금어로 102","-","중개거래","경기 용인시 처인구","-"
"28","경기도 용인시 처인구 고림동","264-8","0264","0008","인정빌리지1","59.9300","202604","23","19,000","-","10","개인","개인","2000","한터로152번길 45","-","직거래","-","-"
"29","경기도 용인시 처인구 포곡읍 둔전리","385","0385","0000","신원1차","59.9900","202604","23","23,500","-","9","개인","개인","1998","포곡로 90","-","중개거래","경기 용인시 처인구","-"
"30","경기도 평택시 고덕동","2706-1","2706","0001","고덕국제신도시금호어울림","59.9800","202604","23","39,000","-","5","개인","개인","2023","고덕로 191","-","중개거래","경기 평택시","-"
"31","경기도 안성시 금광면 신양복리","139-1","0139","0001","홍익","53.6930","202604","23","12,900","-","8","개인","개인","2001","종합운동장로 132","-","중개거래","경기 안성시","-"
"32","경기도 화성시 동탄구 장지동","976","0976","0000","제일풍경채에듀앤파크","59.5765","202604","23","47,000","-","15","개인","개인","2018"," 26","-","중개거래","경기 화성시 동탄구","-"
"33","경기도 의정부시 호원동","456-3","0456","0003","신일","59.9880","202604","23","26,200","-","13","개인","개인","1998","평화로216번길 13","-","중개거래","경기 의정부시","-"
"34","경기도 용인시 기흥구 상하동","652","0652","0000","쌍용스윗닷홈(2단지)","101.7000","202604","23","40,500","-","10","개인","개인","2004","중부대로788번길 15","-","중개거래","경기 용인시 기흥구","-"
"35","경기도 남양주시 다산동","4002-1","4002","0001","플루리움3단지","134.8780","202604","23","72,000","-","14","개인","개인","2001","도농로 34","-","중개거래","경기 남양주시","-"
"36","경기도 남양주시 호평동","729","0729","0000","호평오네뜨센트럴","74.9943","202604","23","57,700","-","14","개인","개인","2019","늘을3로 88-12","-","중개거래","경기 남양주시","-"
"37","경기도 의왕시 삼동","244-1","0244","0001","우성4차","51.0300","202604","23","26,000","-","1","개인","개인","1985","장승길 3","-","중개거래","경기 의왕시","-"
"38","경기도 화성시 동탄구 능동","1151","1151","0000","푸른마을모아미래도","83.7370","202604","23","51,000","-","15","개인","개인","2008"," 21-11","-","중개거래","경기 화성시 동탄구","-"
"39","경기도 의정부시 신곡동","727-1","0727","0001","한국아파트","49.6860","202604","23","24,500","-","10","개인","개인","1999","회룡로 245","-","중개거래","경기 의정부시","-"
"40","경기도 남양주시 오남읍 오남리","439","0439","0000","신우아이딜2차","84.9920","202604","23","27,000","-","7","개인","개인","2004","진건오남로512번길 26","-","직거래","-","-"
"41","경기도 파주시 다율동","982","0982","0000","청석마을8단지동문굿모닝힐","84.8810","202604","23","34,000","-","14","개인","개인","2005","청석로 350","-","중개거래","경기 파주시","-"
"42","경기도 파주시 다율동","1035","1035","0000","해오름마을14단지푸르지오파르세나","59.8470","202604","23","43,500","-","9","개인","개인","2022","청암로 82","-","중개거래","경기 파주시","-"
"43","경기도 파주시 다율동","1005","1005","0000","중흥S-클래스에듀하이해오름마을1단지","113.9742","202604","23","52,900","-","3","개인","개인","2024","교하로 1160","-","중개거래","경기 파주시","-"
"44","경기도 파주시 동패동","2127","2127","0000","초롱꽃마을11단지운정하우스디","55.9200","202604","23","36,400","-","9","개인","개인","2022","양지로 112","-","중개거래","경기 고양시 일산서구, 경기 파주시","-"
"45","경기도 용인시 기흥구 중동","1096","1096","0000","신동백롯데캐슬에코1단지","106.2300","202604","23","69,000","-","1","개인","개인","2013","동백죽전대로527번길 80","-","중개거래","경기 용인시 기흥구","-"
"46","경기도 고양시 덕양구 지축동","884","0884","0000","지축역북한산유보라","84.9884","202604","23","87,000","-","8","개인","개인","2019","오부자로 14","-","중개거래","서울 은평구","-"
"47","경기도 부천시 소사구 옥길동","771-1","0771","0001","옥길센트리뷰","74.4900","202604","23","59,700","-","17","개인","개인","2017","옥길로 55","-","중개거래","경기 부천시 소사구, 경기 부천시 원미구","-"
"48","경기도 평택시 비전동","828-1","0828","0001","태산신그린","59.9100","202604","23","16,700","-","18","개인","개인","1995","평택5로 134","-","직거래","-","-"
"49","경기도 남양주시 와부읍 덕소리","606-1","0606","0001","덕소주공3","59.9900","202604","23","43,500","-","8","개인","개인","1998","덕소로 33","-","중개거래","경기 구리시, 경기 남양주시","-"
"50","경기도 파주시 아동동","283","0283","0000","팜스프링(283-0)","84.9420","202604","23","20,500","-","7","개인","개인","2001","송화로 13","-","중개거래","경기 파주시","-"
"51","경기도 부천시 원미구 상동","551-1","0551","0001","푸른마을(창보)","84.9641","202604","22","84,700","-","11","개인","개인","2002","송내대로205번길 70","-","중개거래","경기 부천시 원미구","-"
"52","경기도 안성시 당왕동","534","0534","0000","대우1","70.6860","202604","22","17,400","-","7","개인","개인","1993","고수1로 19","-","중개거래","경기 안성시","-"
"53","경기도 용인시 수지구 풍덕천동","1209","1209","0000","e편한세상수지","84.9320","202604","22","150,000","-","18","개인","개인","2017","포은대로313번길 7-10","-","중개거래","경기 용인시 수지구","-"
"54","경기도 가평군 가평읍 읍내리","766-3","0766","0003","가평블루핀","63.1818","202604","22","19,000","-","10","개인","개인","2019","가화로 219","-","중개거래","경기 가평군","-"
"55","경기도 화성시 병점구 병점동","821","0821","0000","느치미마을주공뜨란채3단지","84.9100","202604","22","35,000","-","1","개인","개인","2004"," 88","-","중개거래","경기 화성시 병점구","-"
